Country,Score,Year,,,,,
Algeria,26,2003,,,,,
Bahrain,61,2003,,,,,
Egypt,33,2003,,,,,
Iran,30,2003,,,,,
Iraq,22,2003,,,,,
Israel,70,2003,,,,,
Jordan,46,2003,,,,,
Kuwait,53,2003,,,,,
Lebanon,30,2003,,,,,
Libya,21,2003,,,,,
Morocco,33,2003,,,,,
Oman,63,2003,,,,,
Palestine,30,2003,,,,,
Qatar,56,2003,,,,,
Saudi Arabia,45,2003,,,,,
Syria,34,2003,,,,,
Tunisia,49,2003,,,,,
United Arab Emirates,52,2003,,,,,
Yemen,26,2003,,,,,
Algeria,27,2004,,,,,
Bahrain,58,2004,,,,,
Egypt,32,2004,,,,,
Iran,29,2004,,,,,
Iraq,21,2004,,,,,
Israel,64,2004,,,,,
Jordan,53,2004,,,,,
Kuwait,46,2004,,,,,
Lebanon,27,2004,,,,,
Libya,25,2004,,,,,
Morocco,32,2004,,,,,
Oman,61,2004,,,,,
Palestinian Authority,25,2004,,,,,
Qatar,52,2004,,,,,
Saudi Arabia,34,2004,,,,,
Syria,34,2004,,,,,
Tunisia,50,2004,,,,,
United Arab Emirates,61,2004,,,,,
Yemen,24,2004,,,,,
Algeria,28,2005,,,,,
Bahrain,58,2005,,,,,
Egypt,34,2005,,,,,
Iran,29,2005,,,,,
Iraq,22,2005,,,,,
Israel,63,2005,,,,,
Jordan,57,2005,,,,,
Kuwait,47,2005,,,,,
Lebanon,31,2005,,,,,
Libya,25,2005,,,,,
Morocco,32,2005,,,,,
Oman,63,2005,,,,,
Palestine,26,2005,,,,,
Qatar,59,2005,,,,,
Saudi Arabia,34,2005,,,,,
Syria,34,2005,,,,,
Tunisia,49,2005,,,,,
United Arab Emirates,62,2005,,,,,
Yemen,27,2005,,,,,
Algeria,31,2006,,,,,
Bahrain,57,2006,,,,,
Egypt,33,2006,,,,,
Iran,27,2006,,,,,
Iraq,19,2006,,,,,
Israel,59,2006,,,,,
Jordan,53,2006,,,,,
Kuwait,48,2006,,,,,
Lebanon,36,2006,,,,,
Libya,27,2006,,,,,
Morocco,32,2006,,,,,
Oman,54,2006,,,,,
Qatar,60,2006,,,,,
Saudi Arabia,33,2006,,,,,
Syria,29,2006,,,,,
Tunisia,46,2006,,,,,
United Arab Emirates,62,2006,,,,,
Yemen,26,2006,,,,,
Algeria,30,2007,,,,,
Bahrain,50,2007,,,,,
Egypt,29,2007,,,,,
Iran,25,2007,,,,,
Iraq,15,2007,,,,,
Israel,61,2007,,,,,
Jordan,47,2007,,,,,
Kuweit,43,2007,,,,,
Lebanon,30,2007,,,,,
Libya,25,2007,,,,,
Morocco,35,2007,,,,,
Oman,47,2007,,,,,
Qatar,60,2007,,,,,
Saudi Arabia,34,2007,,,,,
Syria,24,2007,,,,,
Tunisia,42,2007,,,,,
United Arab Emirates,57,2007,,,,,
Yemen,25,2007,,,,,
Algeria,32,2008,,,,,
Bahrain,54,2008,,,,,
Egypt,28,2008,,,,,
Iran,23,2008,,,,,
Iraq,13,2008,,,,,
Israel,60,2008,,,,,
Jordan,51,2008,,,,,
Kuwait,43,2008,,,,,
Lebanon,30,2008,,,,,
Libya,26,2008,,,,,
Morocco,35,2008,,,,,
Oman,55,2008,,,,,
Qatar,65,2008,,,,,
Saudi Arabia,35,2008,,,,,
Syria,21,2008,,,,,
Tunisia,44,2008,,,,,
United Arab Emirates,59,2008,,,,,
Yemen,23,2008,,,,,
Algeria,28,2009,,,,,
Bahrain,51,2009,,,,,
Egypt,28,2009,,,,,
Iran,18,2009,,,,,
Iraq,15,2009,,,,,
Israel,61,2009,,,,,
Jordan,50,2009,,,,,
Kuwait,41,2009,,,,,
Lebanon,25,2009,,,,,
Libya,25,2009,,,,,
Morocco,33,2009,,,,,
Oman,55,2009,,,,,
Qatar,70,2009,,,,,
Saudi Arabia,43,2009,,,,,
Syria,26,2009,,,,,
Tunisia,42,2009,,,,,
United Arab Emirates,65,2009,,,,,
Yemen,21,2009,,,,,
Algeria,29,2010,,,,,
Bahrain,49,2010,,,,,
Egypt,31,2010,,,,,
Iran,22,2010,,,,,
Iraq,15,2010,,,,,
Israel,61,2010,,,,,
Jordan,47,2010,,,,,
Kuwait,45,2010,,,,,
Lebanon,25,2010,,,,,
Libya,22,2010,,,,,
Morocco,34,2010,,,,,
Oman,53,2010,,,,,
Qatar,77,2010,,,,,
Saudi Arabia,47,2010,,,,,
Syria,25,2010,,,,,
Tunisia,43,2010,,,,,
United Arab Emirates,63,2010,,,,,
Yemen,22,2010,,,,,
Algeria,29,2011,,,,,
Bahrain,51,2011,,,,,
Egypt,29,2011,,,,,
Iran,27,2011,,,,,
Iraq,18,2011,,,,,
Israel,58,2011,,,,,
Jordan,45,2011,,,,,
Kuwait,46,2011,,,,,
Lebanon,25,2011,,,,,
Libya,20,2011,,,,,
Morocco,34,2011,,,,,
Oman,48,2011,,,,,
Qatar,72,2011,,,,,
Saudi Arabia,44,2011,,,,,
Syria,26,2011,,,,,
Tunisia,38,2011,,,,,
United Arab Emirates,68,2011,,,,,
Yemen,21,2011,,,,,
Algeria,34,2012,,,,,
Bahrain,51,2012,,,,,
Egypt,32,2012,,,,,
Iran,28,2012,,,,,
Iraq,18,2012,,,,,
Israel,60,2012,,,,,
Jordan,48,2012,,,,,
Kuwait,44,2012,,,,,
Lebanon,30,2012,,,,,
Libya,21,2012,,,,,
Morocco,37,2012,,,,,
Oman,47,2012,,,,,
Qatar,68,2012,,,,,
Saudi Arabia,44,2012,,,,,
Syria,26,2012,,,,,
Tunisia,41,2012,,,,,
United Arab Emirates,68,2012,,,,,
Yemen,23,2012,,,,,
Algeria,36,2013,,,,,
Bahrain,48,2013,,,,,
Egypt,32,2013,,,,,
Iran,25,2013,,,,,
Iraq,16,2013,,,,,
Israel,61,2013,,,,,
Jordan,45,2013,,,,,
Kuwait,43,2013,,,,,
Lebanon,28,2013,,,,,
Libya,15,2013,,,,,
Morocco,37,2013,,,,,
Oman,47,2013,,,,,
Qatar,68,2013,,,,,
Saudi Arabia,46,2013,,,,,
Syria,17,2013,,,,,
Tunisia,41,2013,,,,,
United Arab Emirates,69,2013,,,,,
Yemen,18,2013,,,,,
Algeria,36,2014,,,,,
Bahrain,49,2014,,,,,
Egypt,37,2014,,,,,
Iran,27,2014,,,,,
Iraq,16,2014,,,,,
Israel,60,2014,,,,,
Jordan,49,2014,,,,,
Kuwait,44,2014,,,,,
Lebanon,27,2014,,,,,
Libya,18,2014,,,,,
Morocco,39,2014,,,,,
Oman,45,2014,,,,,
Qatar,69,2014,,,,,
Saudi Arabia,49,2014,,,,,
Syria,20,2014,,,,,
Tunisia,40,2014,,,,,
United Arab Emirates,70,2014,,,,,
Yemen,19,2014,,,,,
Algeria,36,2015,,,,,
Bahrain,51,2015,,,,,
Egypt,36,2015,,,,,
Iran,27,2015,,,,,
Iraq,16,2015,,,,,
Israel,61,2015,,,,,
Jordan,53,2015,,,,,
Kuwait,49,2015,,,,,
Lebanon,28,2015,,,,,
Libya,16,2015,,,,,
Morocco,36,2015,,,,,
Oman,45,2015,,,,,
Qatar,71,2015,,,,,
Saudi Arabia,52,2015,,,,,
Syria,18,2015,,,,,
Tunisia,38,2015,,,,,
United Arab Emirates,70,2015,,,,,
Yemen,18,2015,,,,,
Algeria,34,2016,,,,,
Bahrain,43,2016,,,,,
Egypt,34,2016,,,,,
Iran,29,2016,,,,,
Iraq,17,2016,,,,,
Israel,64,2016,,,,,
Jordan,48,2016,,,,,
Kuwait,41,2016,,,,,
Lebanon,28,2016,,,,,
Libya,14,2016,,,,,
Morocco,37,2016,,,,,
Oman,45,2016,,,,,
Qatar,61,2016,,,,,
Saudi Arabia,46,2016,,,,,
Syria,13,2016,,,,,
Tunisia,41,2016,,,,,
United Arab Emirates,66,2016,,,,,
Yemen,14,2016,,,,,
Algeria,33,2017,,,,,
Bahrain,43,2017,,,,,
Egypt,32,2017,,,,,
Iran,29,2017,,,,,
Iraq,17,2017,,,,,
Israel,62,2017,,,,,
Jordan,48,2017,,,,,
Kuwait,39,2017,,,,,
Lebanon,28,2017,,,,,
Libya,14,2017,,,,,
Morocco,37,2017,,,,,
Oman,45,2017,,,,,
Qatar,63,2017,,,,,
Saudi Arabia,46,2017,,,,,
Syria,13,2017,,,,,
Tunisia,42,2017,,,,,
United Arab Emirates,71,2017,,,,,
Yemen,14,2017,,,,,
Algeria,35,2018,,,,,
Bahrain,36,2018,,,,,
Egypt,35,2018,,,,,
Iran,28,2018,,,,,
Iraq,18,2018,,,,,
Israel,61,2018,,,,,
Jordan,49,2018,,,,,
Kuwait,41,2018,,,,,
Lebanon,28,2018,,,,,
Libya,17,2018,,,,,
Morocco,37,2018,,,,,
Oman,52,2018,,,,,
Qatar,62,2018,,,,,
Saudi Arabia,49,2018,,,,,
Syria,13,2018,,,,,
Tunisia,43,2018,,,,,
United Arab Emirates,70,2018,,,,,
Yemen,14,2018,,,,,
Algeria,34,2019,,,,,
Bahrain,43,2019,,,,,
Egypt,34,2019,,,,,
Iran,29,2019,,,,,
Iraq,17,2019,,,,,
Israel,64,2019,,,,,
Jordan,48,2019,,,,,
Kuwait,41,2019,,,,,
Lebanon,28,2019,,,,,
Libya,14,2019,,,,,
Morocco,37,2019,,,,,
Oman,45,2019,,,,,
Qatar,61,2019,,,,,
Saudi Arabia,46,2019,,,,,
Syria,13,2019,,,,,
Tunisia,41,2019,,,,,
United Arab Emirates,66,2019,,,,,
Yemen,14,2019,,,,,
Algeria,34,2020,,,,,
Bahrain,43,2020,,,,,
Egypt,34,2020,,,,,
Iran,29,2020,,,,,
Iraq,17,2020,,,,,
Israel,64,2020,,,,,
Jordan,48,2020,,,,,
Kuwait,41,2020,,,,,
Lebanon,28,2020,,,,,
Libya,14,2020,,,,,
Morocco,37,2020,,,,,
Oman,45,2020,,,,,
Qatar,61,2020,,,,,
Saudi Arabia,46,2020,,,,,
Syria,13,2020,,,,,
Tunisia,41,2020,,,,,
United Arab Emirates,66,2020,,,,,
Yemen,14,2020,,,,,
,,,,,,,
