Year,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Sudan,Syria,Tunisia,Turkey,United Arab Emirates,Yemen
2005,3.046791930013569,3.6970334428351634,3.982200342948545,2.789705435614451,3.685941348900087,7.2180171677628095,3.678507037278905,3.0242658397946798,5.8465248124994105,1.6525793789187446,3.553200042836579,2.8111652359730215,6.221983558987631,2.8919775729427784,1.9236871604371117,2.8530527429747963,2.62443519397857,1.3591548681433778,5.990168031297799,2.470814430384962,3.183977689492167
2006,3.17,3.53,3.9,2.93,4.01,7.28,3.92,3.09,5.82,1.84,3.9,2.77,6.01,2.78,1.92,2.9,2.36,3.06,5.7,2.42,2.98
2007,3.2625998871953925,3.4508927142196626,3.8762652399386752,2.5926780590198177,3.930078755845898,7.339144429865883,3.8077876035458758,3.303756731620524,5.738889873082371,2.3176784332899842,3.724360261048332,2.915191196490923,5.848692249603118,2.9309623756207657,1.87327496607395,2.7388053434533504,2.347636384271027,2.840826691259281,5.8596972596624255,2.4932872403487636,3.0213284868855226
2008,3.32,3.38,3.89,2.83,4.0,7.48,3.93,3.39,5.62,2.0,3.88,2.98,5.83,2.92,1.9,2.81,2.18,2.96,5.69,2.6,2.95
2009,3.4408736665609467,3.233605084069495,3.7649381665414694,2.4278938733295945,4.0948237914417405,7.449259645090933,3.8920800660598616,3.530325499450555,5.593804043401178,2.8033940104942303,3.900605556290884,2.9984745281599317,5.496844015055103,2.979689589271402,1.8416462235290965,2.6369584741096332,2.106243776706833,4.0690162935934495,5.7078104569172865,2.5234597082621804,2.860475378346564
2010,3.44,3.49,3.07,1.94,4.0,7.48,3.74,3.88,5.82,1.94,3.79,2.86,5.44,3.09,1.84,2.42,2.31,2.79,5.73,2.52,2.64
2011,3.44,2.92,3.95,1.98,4.03,7.53,3.89,3.74,5.32,3.55,3.83,3.26,4.97,3.18,1.77,2.38,1.99,5.53,5.73,2.58,2.57
2012,3.83,2.53,4.56,1.98,4.1,7.53,3.76,3.78,5.05,5.15,4.07,3.26,4.8,3.18,1.71,2.38,1.63,5.67,5.76,2.58,3.12
2013,3.83,2.87,3.27,1.98,4.1,7.53,3.76,3.78,5.05,4.82,4.07,3.26,4.8,3.18,1.82,2.54,1.86,5.76,5.63,2.52,2.79
2014,3.83,2.87,3.16,1.98,4.23,7.63,3.76,3.78,5.12,3.8,4.0,3.15,4.72,3.18,1.82,2.54,1.74,6.31,5.12,2.64,2.79
2015,3.95,2.79,3.18,2.16,4.08,7.77,3.86,3.85,4.86,2.25,4.66,3.04,4.57,3.18,1.93,2.37,1.43,6.72,5.12,2.75,2.24
2016,3.56,2.79,3.31,2.34,4.08,7.85,3.96,3.85,4.86,2.25,4.77,3.04,4.49,3.18,1.93,2.37,1.43,6.4,5.04,2.75,2.07
2017,3.56,2.71,3.36,2.45,4.09,7.79,3.87,3.85,4.72,2.32,4.87,3.04,4.46,3.19,1.93,2.15,1.43,6.32,4.88,2.69,2.07
2018,3.5,2.71,3.36,2.45,4.06,7.79,3.93,3.85,4.63,2.19,4.99,3.04,4.39,3.19,1.93,2.15,1.43,6.41,4.37,2.76,1.95
2019,4.01,2.55,3.06,2.38,3.74,7.86,3.93,3.93,4.36,2.02,5.1,3.06,3.89,3.19,1.93,2.7,1.43,6.72,4.09,2.76,1.95
2020,3.77,2.49,2.93,2.2,3.62,7.84,3.62,3.8,4.16,1.95,5.04,3.0,3.83,3.24,2.08,2.54,1.43,6.59,4.48,2.7,1.95
2021,3.77,2.52,2.93,1.95,3.51,7.97,3.49,3.91,3.84,1.95,5.04,3.0,3.94,3.65,2.08,2.47,1.43,5.99,4.35,2.9,1.95
2022,3.66,2.52,2.93,1.96,3.13,7.93,3.17,3.83,3.64,2.06,5.04,3.12,3.86,3.65,2.08,2.47,1.43,5.51,4.35,2.9,1.95
2023,3.66,2.52,2.93,1.96,2.88,7.8,3.04,3.5,3.56,1.78,5.04,3.12,3.47,3.65,2.08,1.76,1.43,5.51,4.33,3.01,1.95
