Year,Bahrain,Egypt,libya,Syria,Tunisia,Yemen,Algeria,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Morocco,Saudi Arabia,United Arab emirates
2000,0.44,0.32,0.11,0.19,0.32,0.41,0.59,0.39,0.11,0.85,0.62,0.55,0.57,0.6,0.17,0.38
2001,0.48,0.32,0.11,0.19,0.32,0.41,0.59,0.39,0.11,0.84,0.62,0.55,0.58,0.6,0.16,0.38
2002,0.55,0.32,0.11,0.18,0.32,0.41,0.58,0.39,0.49,0.84,0.61,0.56,0.57,0.6,0.16,0.38
2003,0.55,0.32,0.11,0.18,0.32,0.41,0.58,0.39,0.49,0.84,0.62,0.56,0.57,0.6,0.16,0.38
2004,0.49,0.32,0.12,0.17,0.32,0.4,0.58,0.36,0.53,0.84,0.62,0.56,0.58,0.6,0.16,0.37
2005,0.49,0.32,0.12,0.18,0.32,0.4,0.6,0.27,0.51,0.84,0.62,0.56,0.65,0.6,0.16,0.38
2006,0.48,0.32,0.12,0.18,0.32,0.4,0.6,0.25,0.49,0.84,0.63,0.56,0.7,0.6,0.17,0.38
2007,0.46,0.32,0.12,0.18,0.32,0.4,0.6,2.4,0.49,0.84,0.63,0.56,0.7,0.61,0.16,0.39
2008,0.46,0.32,0.12,0.18,0.32,0.4,0.6,2.4,0.49,0.84,0.63,0.56,0.7,0.6,0.16,0.39
2009,0.46,0.32,0.12,0.18,0.32,0.4,0.6,0.22,0.5,0.84,0.63,0.56,0.73,0.6,0.17,0.4
2010,0.44,0.32,0.12,0.17,0.31,0.39,0.6,0.19,0.49,0.84,0.64,0.56,0.72,0.61,0.17,0.41
2011,0.19,0.41,0.32,0.11,0.78,0.39,0.6,0.2,0.49,0.84,0.64,0.56,0.73,0.62,0.17,0.36
2012,0.2,0.42,0.49,0.09,0.8,0.5,0.61,0.2,0.49,0.84,0.65,0.56,0.73,0.62,0.17,0.39
2013,0.2,0.22,0.42,0.07,0.77,0.47,0.61,0.24,0.47,0.84,0.66,0.56,0.72,0.62,0.18,0.39
2014,0.21,0.18,0.4,0.06,0.76,0.33,0.61,0.24,0.43,0.84,0.66,0.56,0.73,0.61,0.18,0.4
2015,0.23,0.18,0.39,0.06,0.79,0.15,0.61,0.27,0.44,0.84,0.66,0.56,0.7,0.62,0.17,0.41
2016,0.22,0.18,0.39,0.07,0.8,0.14,0.55,0.27,0.47,0.83,0.65,0.56,0.73,0.63,0.17,0.42
2017,0.21,0.18,0.34,0.07,0.82,0.12,0.58,0.26,0.47,0.83,0.65,0.56,0.71,0.63,0.16,0.41
2018,0.22,0.19,0.33,0.07,0.8,0.12,0.58,0.27,0.4,0.82,0.65,0.55,0.7,0.64,0.14,0.41
2019,0.27,0.2,0.32,0.07,0.79,0.14,0.59,0.26,0.43,0.83,0.6,0.56,0.68,0.62,0.17,0.39
2020,0.28,0.21,0.33,0.07,0.8,0.13,0.55,0.24,0.41,0.84,0.65,0.57,0.7,0.61,0.15,0.39
