Year,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Qatar,Saudi Arabia,Palestine,Syria,Tunisia,United Arab Emirates,Yemen
2000,11.07,17.11,7.81,-5.31,26.83,9.56,1.65,21.5,-2.37,4.38,-8.28,23.41,36.06,14.26,-1.56,16.32,-7.4,16.85,23.21
2001,6.96,-3.51,-5.13,13.81,-27.54,-3.33,3.89,-10.14,0.66,-12.91,0.54,-1.56,-6.03,-5.21,-9.53,4.18,1.71,-6.11,-0.94
2002,2.15,4.3,-13.76,0.4,-11.85,-8.96,4.49,6.33,7.11,-41.39,6.01,2.3,5.09,0.52,-13.43,-0.46,3.84,1.05,5.67
2003,17.85,11,-7.65,18.27,-35.43,3.11,4.02,22.3,3.51,25.06,21.73,6.17,15.8,11.23,8.78,2.92,17.48,7.89,7.26
2004,23.33,10.88,-3.85,21.79,62.37,4.74,9.17,21.16,3.75,22.89,12.48,12.74,29.75,17.31,13.08,11.93,12.5,13.53,14.65
2005,14.89,12.21,11.5,17.25,32.67,3.24,7.48,30.95,0.1,39.23,2.74,23.2,28.62,23.12,8.54,11.94,2.53,13.97,17.33
2006,13.34,7.64,17.58,15.79,29.19,5.99,11.79,18.88,0.78,24.08,8.74,17.61,14.31,10.29,1.71,11.85,5.55,7.46,10.59
2007,13.89,9.58,19.07,29.49,37.53,13.95,6.65,6.42,10.63,10.91,13.08,11.13,7.88,6.11,6,12.53,12.17,-3.13,10.19
2008,24.46,10.88,22.4,16.24,45.33,17.71,29.24,21.57,15.41,24.77,15.58,42.24,23.34,20.24,22.29,25.22,14.2,2.78,20.63
2009,-18.15,-16.01,13.92,-0.38,-18.16,-6.15,5.94,-31.82,20.01,-31.33,-1.95,-21.92,-23.9,-20.48,7.69,1.29,-4.06,-29.73,-9.34
2010,16.1,8.94,13.45,15.28,20.18,10.42,8.17,3.45,7.63,21.45,-1.61,25.72,20.23,19.21,16.67,10.86,5.25,11.57,19.44
2011,20.5,12.06,5.41,26.99,29.49,9.88,6.07,24.95,2.84,-32.96,7.65,7.16,27.35,24.96,12.66,8.11,2.85,18.89,2.85
2012,2.03,5.73,15.63,1.55,12.21,-3.49,5.63,4.64,7.41,102.53,-4.19,2.3,5.43,7.25,6.48,-35.7,-2.94,5.49,5.09
2013,-0.84,2.74,0.97,-24.59,2.72,11.42,2.08,-6.84,-2.88,-20.14,6.75,-4.69,-0.42,-0.51,8.08,-47.99,1.76,3.03,10.95
2014,1.98,-1.26,3.5,-8.33,-6,3.57,-4.95,-9.47,-7.14,-25.27,1.57,-1.88,-4.61,-0.35,1.11,7.8,2.1,2.48,4
2015,-23.09,-10.27,5.43,-13.31,-28.94,-5.37,-4.5,-32.2,1.79,-16.38,-8.49,-18.79,-28.07,-14.33,-2.39,-19.96,-9.95,-11.4,-4.44
2016,-5.49,0.12,-1.15,10.14,-2.45,4.1,-1.5,-7.81,4.74,0.98,-0.2,-9.03,-12.72,-2.5,7.81,-22.52,-4.16,-1.13,-28.12
2017,3.01,6.28,-26.76,4.75,9.66,9.09,1.74,8.26,6.21,32.52,4.96,4.22,1.61,4.92,2.63,29.81,-5.96,4.89,-16.46
2018,0.53,4.53,3.74,-33.13,18.54,3.14,1.8,9.41,6.29,12.43,6.21,11.71,11.54,15.61,-1.6,28.95,0.21,8.5,-21.48
2019,-2.38,1.78,19.2,-14.91,0.35,4.82,0.32,-2.44,-3.26,-7.31,0.17,-3.8,-5.19,-3.18,2.65,1.05,-2.78,-2.88,-1.13
2020,-16.24,-9.42,18.37,-16.18,-24.38,0.89,-3.87,-21.05,-37.26,-10.03,-6.87,-12.67,-16.73,-12.85,-11.58,-52.2,0.46,-17.07,-9.73
